station_id,name,latitude,longitude,capacity,num_bikes_available,last_reported
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,24,3,2016-01-22
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,19,17,2016-01-22
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,19,6,2016-01-22
3044,Albany Ave & Fulton St,40.6800105,-73.938475,27,3,2016-01-22
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,19,8,2016-01-22
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,21,1,2016-01-22
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,19,7,2016-01-22
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,18,0,2016-01-22
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,21,1,2016-01-22
3052,Lewis Ave & Madison St,40.686312,-73.935775,23,8,2016-01-22
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,23,9,2016-01-22
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,19,2,2016-01-22
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,23,1,2016-01-22
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,23,5,2016-01-22
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,18,2,2016-01-22
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,24,5,2016-01-22
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,19,2,2016-01-22
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,19,0,2016-01-22
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,21,2,2016-01-22
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,23,3,2016-01-22
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,20,9,2016-01-22
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,23,6,2016-01-22
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,27,1,2016-01-22
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,19,5,2016-01-22
3067,Broadway & Whipple St,40.7016657,-73.9437303,27,22,2016-01-22
3068,Humboldt St & Varet St,40.7031724,-73.940636,24,15,2016-01-22
3069,Lorimer St & Broadway,40.70411791,-73.94818595,25,16,2016-01-22
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,23,0,2016-01-22
3071,Boerum St & Broadway,40.70538077,-73.94976519,19,6,2016-01-22
3072,Leonard St & Boerum St,40.70583339,-73.94644578,24,16,2016-01-22
3073,Division Ave & Hooper St,40.70691254,-73.95441667,27,0,2016-01-22
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,31,25,2016-01-22
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,33,5,2016-01-22
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,24,1,2016-01-22
3077,Stagg St & Union Ave,40.70877084,-73.95095259,33,0,2016-01-22
3078,Broadway & Roebling St,40.70925562,-73.95982218,27,13,2016-01-22
